Subject,Question,A,B,D,C,E,I,F
Biology,The correct statement for significance of mitosis is,Equal distribution of chromosomes,Restoration of surface-volume ratio,All of the above,Maintenance of nucleoplasmic index,,,
Biology,"Short / Long Answer Types:
Explain the major steps of glycolysis. Where does this process occur in a cell?",,,,,,,
Biology,"A plant in your garden avoids photorespiratory losses, has improved water use efficiency, shows high rate of photosynthesis at high temperature and has improved efficiency of nitrogen utilisation. In which of the following physiological groups would you assign this plant?","\( C_{3} \)
в. \( C_{4} \)",,Nitrogen fixer,сАм,,,
Biology,"The cut flowers and vegetables can be kept fresh a long period by this plant hormone
A . Gibberellins",,Cytokinins,Ethylene,Auxins,"2,4 - dichlorophenoxy acetic acid",,
Biology,"Which is the most common source of
eutrophication?",Industrial effluent,Textile effluent,Both B and C,Sewage water,,,
Biology,Regeneration is carried out by specialized cells.,True,False,,,,,
Biology,The puffed-up appearance of dough is due to fermentation by yeast. Identify the gas liberated during the process,Methane,Carbon dioxide,Ammonia,Hydrogen sulphide,,,
Biology,DNA is mainly found in,Nucleus only,Nucleus and cytoplasm,None of the above,Cytoplasm only,,,
Biology,"In Blackmann's Law of limiting Factors the rate of photosynthesis continues to increase with the successive increase
in the amounts of","Carbon dioxide, light, temperature","Temperature, light, carbon dioxide","Light, carbon dioxide, temperature","Light, temperature, carbon dioxide",,,
Biology,"Assertion
G-phase is also called anaphase, as during this phase the cell stores ATP for
cell division.
Reason
Cell produces structural and functional proteins. Cell's metabolic rate is high and is controlled by the enzymes.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is incorrect but Reason is correct,,,
Biology,"Fill in the blank.
type of reproduction occurs
in Hydra.",Binary fission,Multiple fission,Fragmentation,Budding,,,
Biology,"In human sperm, besides autosomes
the chromosome complement contains",\( x \) and \( y \),Either X or Y,x only,Y only,,,
Biology,What is a tissue?,,,,,,,
Biology,Select the correct matching in the following pairs.,Rough ER - Synthesis of glycogen,Rough ER - Oxidation of fatty acids,smooth ER - synthesis of lipids,Smooth ER - - Oxidation of phospholipids,,,
Biology,"An infant was having a sound sleep, he suddenly woke up with the noise of the drums outside. Which receptor in the infant is responsible for the detection of
the sound?",Gustatory receptor,Auditory receptor,None of the above,olfactory receptor,,,
Biology,The developmental stages in a community are called as,Climax changes,Biological changess,Climatic changes,Seral changes,,,
Biology,"Brown heart disease is due to the
deficiency of",Boron.,Iron,Phosphorus,Molybdenum.,,,
Biology,The final electron acceptor of mitochondria is,Pyruvate.,"NADP.
\( c \cdot 0_{2} \)",OAA (oxalo acetic acid),,,,
Biology,"If the agar block in \( \mathrm{B} \) was placed in the center of coleoptile (not sideways) what
would have been the result?",Grow straight up or symmetrical growth,"Grow downwards
\( c . \) Both (A) and (B)
Done of the above",,,,,
Biology,Two communicable diseases prevalent in developing countries caused by unsafe drinking water and bad sanitation are,Acute diarrhoea and cancer,Diarrhoea and schistosomiasis,Rheumatism and malaria,onchocerciasis and leukaemia,,,
Biology,Vegetative propagation refers to formation of new plants from,"Stem, roots and leaves","Leaves, flowers and seeds","Fruits, seeds and spores","stem, roots and seeds",,,
Biology,"How do the following structures help in respiration in plants?
(a) Lenticels
(b) Stomata
(c) Root hairs",,,,,,,
Biology,Choose the wrong statement:,Penicillium is multicellular and produces antibiotics.,Neurospora is used in the study of biochemical genetics.,Yeast is unicellular and useful in fermentation.,Morels and truffles are poisonous mushrooms.,,,
Biology,A limbless lizard is,Amblyrhynchus,ophisaurus,Moloch,Draco,,,
Biology,Bacteria that get their energy by fermentation and oxygen is lethal for them are called:,obligate aerobes,obligate anaerobes,facultative anaerobes,facultative aerobes,,,
Biology,Heads of Lettuce are,Undeveloped inflorescence,Unopened flowers,Modified stems,Buds,,,
Biology,"Choose the correct answers from the
alternatives given Which one of the following is not true of prokaryotes?",They are living cells,They lack a nucleus,All are parasitic,They are either archaebacteria or eubacteria,,,
Biology,"The correct sequence of cell organelles
participating in photorespiration is",Chloroplast - Peroxisome - Mitochondria,Chloroplast - Vacuole - Peroxisome,Chloroplast - Rough endoplasmic reticulum Dictyosomes,Chloroplast - Golgi bodies - Mitochondria,,,
Biology,"What is a tidal volume? Find out the
tidal volume (approximate value) for a healthy human in an hour.",,,,,,,
Biology,"SER and RER can be distinguished with
it's presence in",Protein synthesising cells,Protein and lipid synthesising cells,Fat and protein synthesising cells,carbohydrates and fat synthesising cells,,,
Biology,Direction of nerve impulse is reversed in nerve with.,Axo-axonic,Axo-dendritic,None of the above,Both A and B,,,
Biology,Succession in a 6 metre deep pond exhibits a sequence of,"Submerged Plants - Reeds \( \rightarrow \) Herbs \( \rightarrow \) Floating Plants
\( \rightarrow \) Shrubs \( \rightarrow \) Trees","Floating Plants - Submerged Plants \( \rightarrow \) Reeds \( \rightarrow \) Herbs
\( \rightarrow \) Shrubs \( \rightarrow \) Trees",Submerged Plants \( \rightarrow \) Floating Plants \( \rightarrow \) Reeds \( \rightarrow \) Herbs \( \rightarrow \) Shrubs \( \rightarrow \) Trees,"Shrubs\rightarrow Trees \( \rightarrow \) submerged Plants \( \rightarrow \) Floating Plants
\( \rightarrow \) Reeds \( \rightarrow \) Herbs",,,
Biology,The pathway which water moves through cell wall without crossing any membrane,apoplast pathway,symplast pathway,transmembrane pathway,vacuolar pathway,,,
Biology,"The cross-section of a trunk of a tree
showed 50 annual rings. The age of tree is
\( A \cdot 50 \) years",,50 months,25 years,100 years,,,
Biology,Anastral mitosis can be traced in,Invertebrates,Vertebrates,Plant cells,Both A and B,,,
Biology,"helps in maintaining the supply of nutrients to the growing plants.
A . Herbivores",,Carnivores,Omnivores,Decomposers,,,
Biology,Which of the following should be increased to prevent soil erosion?,Flow of water,Green areas,None of these,Deforestation,,,
Biology,Distinguish between pectoral and pelvic girdle.,,,,,,,
Biology,"The condition which cannot be detected
by ECG is",Blockage of coronary artery,Gastric ulcer,Angina,Defect of heart valve,,,
Biology,"Match the columns of size with soil
particles
\begin{tabular}{lll|l} 
& Column 1 (size) & \multicolumn{2}{c} { Column 2 (soil particle) } \\",& 0.2- 2.00 \( \mathrm{mm} \) & (i) & Silt \\,"a- iii, b- ii, c- iv, d-i",None of the above,"a- ii, b- iii, c- iv, d-i",,,
Biology,Which one of the following elements is required for photosynthetic oxygen evolution?,copper,Iron,zinç,Manganese,,,
Biology,"Which of the following feature is
common for \( \mathrm{NAD}, \mathrm{NAD}^{+}, \mathrm{NADP} \) ?",They undergo oxidation reactions,They undergo enzyme catalysis,None of the above,They undergo hydrolysis,,,
Biology,"Animals show locomotion but plants do
not.
""What is the reason for this?",Plants are autotrophs,Plants are heterotrophs,None of these,Plants have organs of defence,,,
Biology,"Choose the correct answer from the
alternatives given
Aldosterone causes the:",kidneys to release renin,kidneys to reabsorb sodium,all of the above,blood volume to increase,,,
Biology,"Match the animals listed below with
their nature of blood. Choose the answer
which gives the correct combination of
alphabets of the two columns.
Animals \( \quad \) Nature of blood","Man
(p) Plasma and cells are colourless","A-t, B- r, C- p, D-s","\( A-s, B-t, C-r, D-q \)","\( A-r, B-s, C-p, D-q \)",,,
Biology,Sprain involves,Overstretching of ligament,Overstretching of tendon,Both A and B,Dislodging of bone,,,
Biology,The vermiform appendix is situated at the junction of,Large intestine and small intestine,Small intestine and duodenum,Stomach and duodenum,Anus and rectum,,,
Biology,"A dwarf pea plant was treated with gibberellic acid (GA), it grew as tall as the homozygous tall pea plant. If this GA-treated plant is now crossed with a pure tall pea plant then the phenotypic ratio in the next generation is likely to be",All dwarf.,"50\% dwarf, 50\% tall.",All tall,"75\% tall, 25\% dwarf",,,
Biology,What are the advantages of water stored in the ground than pond water?,It does not evaporate.,It spreads out to recharge wells,All of the above.,Provides moisture for vegetation over a wide area,,,
Biology,The cells named podocytes occur in,Inner wall of Bowman's capsule,"Outer wall of Bowmans capsule
C . Large intestine",Neck region of nephrons,,,,
Biology,"Study the four statements, a-d, given
below and select the two correct ones
out of them.
(a) Definition of biological species was
given by Ernst Mayr.
(b) Photoperiod does not affect reproduction in plants.
(c) Binomial nomenclature system was
given by R.H. Whittaker.
(d) In unicellular organisms
reproduction is synonymous with growth.
\( A \cdot \) a and \( b \)",,b and c,a and d,\( c \) and \( d \),,,
Biology,"Select the correct option:
Match column I with column II and
select the correct option from the codes given below.
Column I Column I I I I nnn
(A) Vermicomposting
(i) Ectonephric
(B) Phayngeal nephridia
(ii) Locomotion
(C) Integumentary
(iii) Earthworm nephridia
(D) Setae
(iv) Enteronephric
(v) Store
(E) Spermathecae \( \quad \) spermatozoa
A \( \cdot A-(\text { iii) } ; B-(i v) ; C-(i) ; D-(\text { ii }) ; E-(v) \)",,\( A-(v) ; B-(i) ; C-(i v) ; D-(\text { ii }) ; E-(\text { iii }) \),A- (iii); B- (v); C- (i); D- (iv): E- (ii),\( A- \) (iii); \( B- \) (ii); \( C-(\text { iv } v) ; D-(i) ; E-(v) \),,,
Biology,"Milk caesin- - - -Y- - -> Paracaesin- - - -M- - ->
Calcium paracaesinate (curding of milk). In the above equation 'Y' and 'M' indicates",Rennin and \( C a^{++} \) respectively,\( C a^{++} \) and Renin respectively,Renin and \( C a^{++} \) respectively,"Renin and HCl, \( C a^{++} \) respectively",,,
Biology,"Which of the following strategy is not a
correct approach to reduce global warming?",Reducing the green house gas emission by limiting the use of fossil fuels.,"Increase the vegetation cover, particularly the forest for photosynthetic utilization of \( C O_{2} \)","Increasing the use of air conditioners, refrigeration unit and production of plastic foams and propellants in aerosal spray cans.",Minimizing the use of nitrogen fertilizers in agriculture for reducing \( N_{2} \) O emission.,Developing substitutes for chlorofluorocarbons.,,
Biology,"Bile pigments are formed in
A . Liver",,Spleen,Both A and B,Every cell,,,
Biology,In which structure peripheral vascular bundles are generally smaller than centrally located ones? This question has multiple correct options,Dicot stem,Monocot stem,Monocot root,Dicot root,,,
Biology,"The collecting ducts in the kidney
converge to form",Pyramid,Calyx,Columns of Bertin,Pelvis,,,
Biology,"Organism which can respire in absence
of \( \boldsymbol{O}_{2} \) is",Chlorella,Solanum,saccharomyces,Saccharum,,,
Biology,The gas absorbed during photosynthesis is,oxygen,Nitrogen,carbon dioxide,Ammonia,,,
Biology,"Which one of the following is the
complementary sequence for the DNA
with \( \mathbf{5}^{\prime} \) -CGTACTA-3' \( ^{\prime} \)
A . \( 5^{\prime} \) '-ТАGТАСG-3",,5'-ATCATGA-3,3'-GCATGAT-5',\( 5^{\prime} \) -UTCUTGC-3',,,
Biology,"In mammals, the teeth are
(i) Of different types
(ii) Embedded in the cup-like socket of the jaw bones
(iii) Only two sets, present throughout life
These conditions are referred as","Heterodont, thecodont and diphyodont","Thecodont, heterodont and diphyodont","Heterodont, diphyodont and thecodont","Diphyodont, thecodont and heterodont","Thecodont, diphyodont and heterodont",,
Biology,"Many molecules can move briefly across the membrane without any
requirement of energy and special membrane proteins. This is called",Active transporttt,Passive transport,All of these,Facilitated diffusion,,,
